"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"Miles Sanders",4045163,"Rainbow sHERBERT","willydawg71088","RB",3,10,4,190.3,134.1,11,"6151"
"Chris Olave",4361370,"Rainbow sHERBERT","willydawg71088","WR",0,8,6,136.7,88,12,"8144"
"Chase Claypool",4046692,"Rainbow sHERBERT","willydawg71088","WR",2,0,14,78.14,0,13,"6886"
"Mike Gesicki",3116164,"Rainbow sHERBERT,JC's cursed Interceptors,Slant Boys For Life","willydawg71088","TE",4,2,2,24.8,12.1,15,"4993"
"Buccaneers D/ST",-16027,"Rainbow sHERBERT","willydawg71088","D/ST",0,9,5,78,52,16,"TB"
"Titans D/ST",-16010,"Rainbow sHERBERT,For Trevor And Ever Amon,JC's cursed Interceptors","NA","D/ST",-1,3,2,18,30,0,"0000"
"Patrick Mahomes",3139477,"The Tiger  King","mikeoc2891","QB",5,13,1,320.4,320.4,1,"4046"
"Travis Kelce",15847,"The Tiger  King","mikeoc2891","TE",9,13,1,216.9,216.9,2,"1466"
"Saquon Barkley",3929630,"The Tiger  King","mikeoc2891","RB",4,13,1,205.4,205.4,3,"4866"
"Ezekiel Elliott",3051392,"The Tiger  King","mikeoc2891","RB",6,6,8,139.9,67.2,4,"3164"
"Terry McLaurin",3121422,"The Tiger  King","mikeoc2891","WR",3,12,2,145.2,132,5,"5927"
"Rashod Bateman",4360939,"The Tiger  King","mikeoc2891","WR",1,1,7,46,4.9,6,"7571"
"Josh Jacobs",4047365,"The Tiger  King","mikeoc2891","RB",3,10,4,260.8,171.3,7,"5850"
"Kareem Hunt",3059915,"The Tiger  King","mikeoc2891","RB",5,1,12,89.3,1.2,8,"4098"
"Drake London",4426502,"The Tiger  King","mikeoc2891","WR",0,4,10,100.8,26.6,9,"8112"
"Treylon Burks",4567156,"The Tiger  King,La La Land","mikeoc2891","WR",0,0,5,40.3,0,10,"8135"
"Jaylen Waddle",4372016,"The Tiger  King","mikeoc2891","WR",1,13,1,165.5,165.5,11,"7526"
"Joe Burrow",3915511,"The Tiger  King","mikeoc2891","QB",2,13,1,290.8,290.8,12,"6770"
"Tyler Allgeier",4373626,"The Tiger  King,For Trevor And Ever Amon","mikeoc2891","RB",0,0,6,36.8,0,14,"8132"
"Jelani Woods",4241410,"The Tiger  King","mikeoc2891","TE",0,0,3,3.8,0,15,"8219"
"Ravens D/ST",-16033,"The Tiger  King,Golaso King Seabass","mikeoc2891","D/ST",0,6,2,61,56,16,"BAL"
"Julio Jones",13982,"The Tiger  King,JC's cursed Interceptors","NA","WR",-1,0,3,10.1,0,0,"0000"
"Steelers D/ST",-16023,"Let Russ Cook Deebo's Nutz","NA","D/ST",-1,4,3,27,14,0,"0000"
"Robbie Anderson",2574808,"Let Russ Cook Deebo's Nutz","NA","WR",-1,0,1,2.7,0,0,"0000"
"Chargers D/ST",-16024,"Let Russ Cook Deebo's Nutz,The Tiger  King","provolove69","D/ST",0,2,1,3,2,16,"LAC"
"Curtis Samuel",3121427,"JC's cursed Interceptors","NA","WR",-1,4,9,108.2,26.3,0,"0000"
"Jarvis Landry",16790,"Golaso King Seabass","tink2020","WR",8,0,2,7.7,0,13,"1825"
"Jamaal Williams",2980453,"Golaso King Seabass,Slant Boys For Life","NA","RB",-1,10,2,133.6,127.1,0,"0000"
"Taysom Hill",2468609,"Slant Boys For Life,La La Land,The Tiger  King","NA","TE",-1,3,9,54.56,17.28,0,"0000"
"Jeff Wilson Jr.",3122976,"For Trevor And Ever Amon","NA","RB",-1,10,3,115.5,96.3,0,"0000"
"Jahan Dotson",4361409,"For Trevor And Ever Amon","NA","WR",-1,0,3,29.7,0,0,"0000"
"Rams D/ST",-16014,"La La Land,The Tiger  King,Let Russ Cook Deebo's Nutz","FantasyGOATx3","D/ST",0,5,0,32,32,15,"LAR"
"Seahawks D/ST",-16026,"La La Land,For Trevor And Ever Amon","NA","D/ST",-1,2,1,22,14,0,"0000"
"Ryan Tannehill",14876,"Rainbow sHERBERT,JC's cursed Interceptors","NA","QB",-1,6,3,92.78,75.86,0,"0000"
"Brian Robinson",4241474,"The Tiger  King","Comish11","RB",0,0,3,0,0,13,"8154"
"Khalil Herbert",4035886,"The Tiger  King,Golaso King Seabass","NA","RB",-1,2,6,62.8,11.7,0,"0000"
"Jimmy Garoppolo",16760,"Let Russ Cook Deebo's Nutz,Golaso King Seabass","NA","QB",-1,5,4,116.24,73.16,0,"0000"
