"pick_no","round_no","team_drafted_id","team_draft_user_name","picked_by","player_id","player_name","player_position","player_exp"
105,11,"461346738695827456","Nserrrr","Nserrrr","4950","Christian Kirk","WR","4"
106,11,"471494369451438080","DeMo5","DeMo5","1339","Zach Ertz","TE","9"
107,11,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","8138","James Cook","RB","0"
108,11,"739690998808096768","provolove69","provolove69","4985","Rashaad Penny","RB","4"
109,11,"470085298420707328","Comish11","Comish11","6819","Michael Pittman","WR","2"
110,11,"471492069110575104","willydawg71088","autopick","6151","Miles Sanders","RB","3"
111,12,"471492069110575104","willydawg71088","willydawg71088","8144","Chris Olave","WR","0"
112,12,"470085298420707328","Comish11","Comish11","5987","Alexander Mattison","RB","3"
113,12,"739690998808096768","provolove69","provolove69","8153","Isaiah Spiller","RB","0"
114,12,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","2319","DeVante Parker","WR","7"
115,12,"471494369451438080","DeMo5","DeMo5","5870","Daniel Jones","QB","3"
116,12,"461346738695827456","Nserrrr","Nserrrr","5906","Dawson Knox","TE","3"
117,12,"601795389573627904","tink2020","tink2020","6955","James Robinson","RB","2"
118,12,"203653162899349504","FantasyGOATx3","FantasyGOATx3","5347","Nyheim Hines","RB","4"
119,12,"601879432004694016","mikeoc2891","Comish11","6770","Joe Burrow","QB","2"
120,12,"740422713507807232","drdadbod","drdadbod","8146","Garrett Wilson","WR","0"
121,13,"740422713507807232","drdadbod","drdadbod","7567","Kenneth Gainwell","RB","1"
122,13,"601879432004694016","mikeoc2891","mikeoc2891","7601","Rondale Moore","WR","1"
123,13,"203653162899349504","FantasyGOATx3","FantasyGOATx3","4017","Deshaun Watson","QB","5"
124,13,"601795389573627904","tink2020","tink2020","1825","Jarvis Landry","WR","8"
125,13,"461346738695827456","Nserrrr","autopick","6843","Albert Okwuegbunam","TE","2"
126,13,"471494369451438080","DeMo5","DeMo5","8168","Skyy Moore","WR","0"
127,13,"471470166262149120","GolasoKingSeabass","autopick","2307","Marcus Mariota","QB","7"
128,13,"739690998808096768","provolove69","provolove69","7606","Kadarius Toney","WR","1"
129,13,"470085298420707328","Comish11","Comish11","8154","Brian Robinson","RB","0"
130,13,"471492069110575104","willydawg71088","willydawg71088","6886","Chase Claypool","WR","2"
131,14,"471492069110575104","willydawg71088","willydawg71088","5110","Russell Gage","WR","4"
132,14,"470085298420707328","Comish11","Comish11","5086","Marquez Valdes-Scantling","WR","4"
133,14,"739690998808096768","provolove69","provolove69","8139","Zamir White","RB","0"
134,14,"471470166262149120","GolasoKingSeabass","autopick","8136","Rachaad White","RB","0"
135,14,"471494369451438080","DeMo5","DeMo5","3214","Hunter Henry","TE","6"
136,14,"461346738695827456","Nserrrr","Nserrrr","8137","George Pickens","WR","0"
137,14,"601795389573627904","tink2020","tink2020","4602","Robert Tonyan","TE","5"
138,14,"203653162899349504","FantasyGOATx3","FantasyGOATx3","6826","Cole Kmet","TE","2"
139,14,"601879432004694016","mikeoc2891","mikeoc2891","8132","Tyler Allgeier","RB","0"
140,14,"740422713507807232","drdadbod","drdadbod","5916","Darrell Henderson","RB","3"
141,15,"740422713507807232","drdadbod","drdadbod","BUF","Buffalo Bills","DEF",""
142,15,"601879432004694016","mikeoc2891","mikeoc2891","8219","Jelani Woods","TE","0"
143,15,"203653162899349504","FantasyGOATx3","FantasyGOATx3","LAR","Los Angeles Rams","DEF",""
144,15,"601795389573627904","tink2020","tink2020","DAL","Dallas Cowboys","DEF",""
145,15,"461346738695827456","Nserrrr","Nserrrr","8211","Tyrion Davis-Price","RB","0"
146,15,"471494369451438080","DeMo5","DeMo5","GB","Green Bay Packers","DEF",""
147,15,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","SF","San Francisco 49ers","DEF",""
148,15,"739690998808096768","provolove69","provolove69","5038","Michael Gallup","WR","4"
149,15,"470085298420707328","Comish11","Comish11","8205","Isiah Pacheco","RB","0"
150,15,"471492069110575104","willydawg71088","autopick","4993","Mike Gesicki","TE","4"
151,16,"471492069110575104","willydawg71088","willydawg71088","TB","Tampa Bay Buccaneers","DEF",""
152,16,"470085298420707328","Comish11","Comish11","IND","Indianapolis Colts","DEF",""
153,16,"739690998808096768","provolove69","autopick","LAC","Los Angeles Chargers","DEF",""
154,16,"471470166262149120","GolasoKingSeabass","Comish11","167","Tom Brady","QB","22"
155,16,"471494369451438080","DeMo5","DeMo5","5052","Ronald Jones","RB","4"
156,16,"461346738695827456","Nserrrr","Nserrrr","NO","New Orleans Saints","DEF",""
157,16,"601795389573627904","tink2020","Comish11","7543","Travis Etienne","RB","1"
158,16,"203653162899349504","FantasyGOATx3","Comish11","6938","Cam Akers","RB","2"
159,16,"601879432004694016","mikeoc2891","mikeoc2891","BAL","Baltimore Ravens","DEF",""
160,16,"740422713507807232","drdadbod","Comish11","6794","Justin Jefferson","WR","2"
