pick_no,round_no,team_drafted_id,team_draft_user_name,picked_by,player_id,player_name,player_position,player_exp
116,12,461346738695827456,Nserrrr,Nserrrr,1833,Damien Williams,RB,7
117,12,471492069110575104,willydawg71088,Comish11,4082,Curtis Samuel,WR,4
118,12,471494369451438080,DeMo5,DeMo5,5038,Michael Gallup,WR,3
119,12,203653162899349504,FantasyGOATx3,Comish11,4602,Robert Tonyan,TE,4
120,12,740422713507807232,drdadbod,drdadbod,5917,Mecole Hardman,WR,2
121,13,740422713507807232,drdadbod,drdadbod,5848,Marquise Brown,WR,2
122,13,203653162899349504,FantasyGOATx3,Comish11,7523,Trevor Lawrence,QB,0
123,13,471494369451438080,DeMo5,DeMo5,1067,Marvin Jones,WR,9
124,13,471492069110575104,willydawg71088,Comish11,2391,David Johnson,RB,6
125,13,461346738695827456,Nserrrr,Nserrrr,2319,DeVante Parker,WR,6
126,13,601879432004694016,mikeoc2891,mikeoc2891,7594,Chuba Hubbard,RB,0
127,13,470085298420707328,Comish11,Comish11,6989,Marquez Callaway,WR,1
128,13,601795389573627904,tink2020,tink2020,6789,Henry Ruggs,WR,1
129,13,605551105107124224,GolasoKing,GolasoKing,5110,Russell Gage,WR,3
130,13,739690998808096768,provolove69,provolove69,5170,Phillip Lindsay,RB,3
131,14,739690998808096768,provolove69,provolove69,1848,James White,RB,7
132,14,605551105107124224,GolasoKing,GolasoKing,4985,Rashaad Penny,RB,3
133,14,601795389573627904,tink2020,tink2020,1476,Latavius Murray,RB,8
134,14,470085298420707328,Comish11,Comish11,BAL,Baltimore Ravens,DEF,
135,14,601879432004694016,mikeoc2891,mikeoc2891,6826,Cole Kmet,TE,1
136,14,461346738695827456,Nserrrr,Nserrrr,5947,Jakobi Meyers,WR,2
137,14,471492069110575104,willydawg71088,Comish11,7596,Elijah Moore,WR,0
138,14,471494369451438080,DeMo5,DeMo5,7098,Ty'Son Williams,RB,1
139,14,203653162899349504,FantasyGOATx3,Comish11,LAR,Los Angeles Rams,DEF,
140,14,740422713507807232,drdadbod,drdadbod,4993,Mike Gesicki,TE,3
141,15,740422713507807232,drdadbod,drdadbod,7611,Rhamondre Stevenson,RB,0
142,15,203653162899349504,FantasyGOATx3,Comish11,7610,Trey Lance,QB,0
143,15,471494369451438080,DeMo5,DeMo5,WAS,Washington Football Team,DEF,
144,15,471492069110575104,willydawg71088,Comish11,TB,Tampa Bay Buccaneers,DEF,
145,15,461346738695827456,Nserrrr,Nserrrr,5549,Darrel Williams,RB,3
146,15,601879432004694016,mikeoc2891,mikeoc2891,SF,San Francisco 49ers,DEF,
147,15,470085298420707328,Comish11,Comish11,7565,Terrace Marshall,WR,0
148,15,601795389573627904,tink2020,tink2020,NE,New England Patriots,DEF,
149,15,605551105107124224,GolasoKing,GolasoKing,BUF,Buffalo Bills,DEF,
150,15,739690998808096768,provolove69,provolove69,4144,Jonnu Smith,TE,4
151,16,739690998808096768,provolove69,provolove69,DEN,Denver Broncos,DEF,
152,16,605551105107124224,GolasoKing,GolasoKing,167,Tom Brady,QB,21
153,16,601795389573627904,tink2020,tink2020,2306,Jameis Winston,QB,6
154,16,470085298420707328,Comish11,Comish11,6870,Bryan Edwards,WR,1
155,16,601879432004694016,mikeoc2891,mikeoc2891,7567,Kenneth Gainwell,RB,0
156,16,461346738695827456,Nserrrr,Nserrrr,MIA,Miami Dolphins,DEF,
157,16,471492069110575104,willydawg71088,autopick,4892,Baker Mayfield,QB,3
158,16,471494369451438080,DeMo5,DeMo5,6768,Tua Tagovailoa,QB,1
159,16,203653162899349504,FantasyGOATx3,Comish11,6955,James Robinson,RB,1
160,16,740422713507807232,drdadbod,Comish11,6794,Justin Jefferson,WR,1
