"name","id","teams","starts","benched"
"Laviska Shenault Jr.",4243160,"7,9,8",3,5
"Sony Michel",3128721,"7,8",2,11
"Phillip Lindsay",3052117,"7",0,2
"James White",16913,"7",0,3
"Broncos D/ST",-16007,"7,2,8",7,2
"Justin Jackson",3116136,"7",0,1
"Jonnu Smith",3054212,"7",0,1
"Tyreek Hill",3116406,"8,1",13,1
"Joe Mixon",3116385,"8",12,2
"Mike Evans",16737,"8",12,2
"Calvin Ridley",3925357,"8",5,9
"Adam Thielen",16460,"8,7",12,2
"Damien Harris",3925347,"8,9",8,5
"Ja'Marr Chase",4362628,"8",10,4
"Logan Thomas",16813,"8,7",6,1
"Devin Singletary",4040761,"8,2",4,6
"Tony Pollard",3916148,"8",4,10
"Lamar Jackson",3916387,"8",12,2
"Damien Williams",17359,"8",1,5
"DeVante Parker",2576623,"8,3,4",0,7
"Jakobi Meyers",3916433,"8,3",0,10
"Dolphins D/ST",-16015,"8,1",3,2
"Browns D/ST",-16005,"8,6",3,2
"Aaron Jones",3042519,"9",12,2
"Clyde Edwards-Helaire",4242214,"9,10",7,6
"Josh Jacobs",4047365,"9",10,4
"A.J. Brown",4047646,"9",10,4
"Diontae Johnson",3932905,"9",12,2
"Austin Ekeler",3068267,"9",13,1
"Justin Herbert",4038941,"9",13,1
"Michael Thomas",2976316,"9",0,14
"Noah Fant",4036131,"9",7,6
"DJ Chark Jr.",3115394,"9",2,2
"Jarvis Landry",16790,"9,7,10",3,9
"Curtis Samuel",3121427,"9",0,1
"David Johnson",2508176,"9,10,3",1,4
"Elijah Moore",4372414,"9,6",0,7
"Buccaneers D/ST",-16027,"9,1,10",7,6
"Baker Mayfield",3052587,"9",0,2
"Alvin Kamara",3054850,"10",9,5
"George Kittle",3040151,"10",10,4
"CeeDee Lamb",4241389,"10",12,2
"Myles Gaskin",3886818,"10",11,3
"Brandon Aiyuk",4360438,"10,6",6,7
"Jerry Jeudy",4241463,"10,4",5,6
"Trey Sermon",4241401,"10",1,8
"Antonio Gibson",4360294,"10",11,3
"Kenyan Drake",2979843,"10,4",2,7
"Ryan Tannehill",14876,"10,3",3,6
"Jaylen Waddle",4372016,"10",12,2
"Joe Burrow",3915511,"10",9,5
"Chuba Hubbard",4241416,"10,5,3",6,5
"49ers D/ST",-16025,"10,4",4,5
"Kenneth Gainwell",4371733,"10",1,8
"Colts D/ST",-16011,"10,7,4,8",3,4
"Saints D/ST",-16018,"1,9,4",5,5
"Cardinals D/ST",-16022,"1,8,5",7,3
"Carlos Hyde",16777,"2",0,6
"Mark Ingram II",13981,"4,1",3,4
"Elijah Mitchell",4241555,"7,8",6,7
"Jalen Reagor",4241802,"7",0,3
"Bills D/ST",-16002,"8,7",8,5
"Jared Cook",12537,"9,6,7",1,2
"Zach Pascal",2978109,"10,3",0,2
"Cordarrelle Patterson",15807,"1",9,3
"Bengals D/ST",-16004,"1",3,1
"Corey Clement",3045260,"2",1,1
"Sterling Shepard",2976592,"4,3",0,6
"Daniel Jones",3917792,"7,6",1,1
"Jacques Patrick",3693033,"8",0,1
"Derek Carr",16757,"9,8",2,3
