"name","id","teams","starts","benched","drafted_round","sleeper_id"
"Amari Cooper",2976499,"fore PLAY",11,3,3,"2309"
"Kyle Pitts",4360248,"fore PLAY",13,1,4,"7553"
"Stefon Diggs",2976212,"fore PLAY",13,1,5,"2449"
"Darrell Henderson Jr.",4039359,"fore PLAY",10,4,0,"0000"
"Kenny Golladay",2974858,"fore PLAY",3,8,7,"4131"
"JuJu Smith-Schuster",3120348,"fore PLAY",4,1,8,"4040"
"Zack Moss",4035676,"fore PLAY",5,7,9,"6845"
"Matthew Stafford",12483,"fore PLAY",13,1,10,"421"
"Darnell Mooney",4040655,"fore PLAY,The Tiger  King,I Kelce Clearly Now",6,6,11,"7090"
"Tyler Higbee",2573401,"fore PLAY,La La Land",6,7,12,"3271"
"Henry Ruggs III",4241475,"fore PLAY",1,7,0,"0000"
"Latavius Murray",15920,"fore PLAY",1,8,14,"1476"
"Patriots D/ST",-16017,"fore PLAY",7,7,0,"0000"
"Jameis Winston",2969939,"fore PLAY",0,3,16,"2306"
"Najee Harris",4241457,"Golaso King Seabass",13,1,1,"7528"
"Darren Waller",2576925,"Golaso King Seabass",10,4,2,"2505"
"Chris Godwin",3116165,"Golaso King Seabass",13,1,3,"4037"
"Cooper Kupp",2977187,"Golaso King Seabass",13,1,4,"4039"
"Mike Davis",3025433,"Golaso King Seabass",3,9,5,"2431"
"David Montgomery",4035538,"Golaso King Seabass",8,6,6,"5892"
"Kyler Murray",3917315,"Golaso King Seabass",8,6,7,"5849"
"Odell Beckham Jr.",16733,"Golaso King Seabass,The Tiger  King",4,10,0,"0000"
"DeVonta Smith",4241478,"Golaso King Seabass,The Tiger  King",6,8,9,"7525"
"Leonard Fournette",3115364,"Golaso King Seabass",11,3,10,"3969"
"Dallas Goedert",3121023,"Golaso King Seabass,Hurts So Good",4,10,11,"5022"
"Mike Williams",3045138,"Golaso King Seabass",11,3,12,"4068"
"Russell Gage",3115378,"Golaso King Seabass,Game of Jones",1,2,13,"5110"
"Tom Brady",2330,"Golaso King Seabass",5,9,16,"167"
"Panthers D/ST",-16029,"Golaso King Seabass,Game of Jones",10,3,0,"0000"
"Tyrell Williams",2587819,"Golaso King Seabass",0,1,0,"0000"
"Christian McCaffrey",3117251,"Hurts So Good",7,7,1,"4034"
"Allen Robinson II",16799,"Hurts So Good,The Tiger  King",5,6,0,"0000"
"Russell Wilson",14881,"Hurts So Good,The Tiger  King",7,6,3,"1234"
"Rob Gronkowski",13229,"Hurts So Good",8,6,4,"515"
"Derrick Henry",3043078,"Hurts So Good,I Kelce Clearly Now",8,6,5,"3198"
"Chase Claypool",4046692,"Hurts So Good",11,3,6,"6886"
"Chase Edmonds",3119195,"Hurts So Good,Golaso King Seabass",9,2,7,"5000"
"Jalen Hurts",4040715,"Hurts So Good",6,8,8,"6904"
"Steelers D/ST",-16023,"Hurts So Good,La La Land",8,0,0,"0000"
"Brandin Cooks",16731,"Hurts So Good",10,4,10,"2197"
"Jamaal Williams",2980453,"Hurts So Good,Game of Jones",1,12,11,"4149"
"Mecole Hardman",4035004,"Hurts So Good,fore PLAY,The Tiger  King",1,6,12,"5917"
"Marquise Brown",4241372,"Hurts So Good",9,5,13,"5848"
"Mike Gesicki",3116164,"Hurts So Good",6,8,14,"4993"
"Rhamondre Stevenson",4569173,"Hurts So Good,La La Land",2,8,15,"7611"
"Justin Jefferson",4262921,"Hurts So Good",13,1,16,"6794"
"Ezekiel Elliott",3051392,"Freiermuth Gong Show",13,1,1,"3164"
"Chris Carson",3919596,"Freiermuth Gong Show",4,6,2,"4273"
"Terry McLaurin",3121422,"Freiermuth Gong Show",13,1,3,"5927"
"Dak Prescott",2577417,"Freiermuth Gong Show",12,2,4,"3294"
"Tyler Lockett",2577327,"Freiermuth Gong Show",11,3,5,"2374"
